東扇島西公園	35.488506	139.742233	higashi-ogishima-nishi-koen	足場が広くファミリー向き	川崎駅からバス35分
大黒海づり施設	35.450086	139.69541	daikoku-umizuri-shisetsu	定番の海釣り施設	鶴見駅からバス25分
本牧海づり施設	35.430164	139.686637	honmoku-umizuri-shisetsu	桟橋で多魚種を狙える	根岸駅からバス20分
磯子海づり施設	35.402448	139.643222	isogo-umizuri-shisetsu	足場安定で初心者向き	磯子駅からバス15分
海の公園	35.339516	139.635072	umi-no-koen	潮干狩り場横の手軽な砂浜	海の公園南口駅から徒歩3分
野島公園	35.33193	139.64093	nojima-koen	岸壁と浜がある公園	野島公園駅から徒歩5分
八景島対岸	35.33783	139.64678	hakkeijima-taigan	手軽に探れる護岸帯	八景島駅から徒歩10分
福浦岸壁	35.34293	139.64998	fukuura-ganpeki	護岸中心の実績場	福浦駅から徒歩8分
うみかぜ公園	35.276793	139.682672	umikaze-koen	横須賀定番の護岸公園	県立大学駅から徒歩15分
海辺つり公園	35.268571	139.690357	umibe-tsuri-koen	横須賀の人気釣り公園	堀ノ内駅から徒歩25分
若洲海浜公園	35.629605	139.837985	wakasu-kaihin-koen	東京湾奥の定番公園	新木場駅からバス15分
城南島海浜公園	35.57806	139.78333	jonanjima-kaihin-koen	羽田近くの広い海浜公園	大森駅からバス25分
京浜島つばさ公園	35.57028	139.76493	keihinjima-tsubasa-koen	空港近くで景観良好	平和島駅からバス20分
大井ふ頭中央海浜公園なぎさの森	35.58726	139.75147	oi-futo-chuo-kaihin-koen-nagisa-no-mori	運河沿いの静かな公園	大井競馬場前駅から徒歩12分
東海ふ頭公園	35.57262	139.76988	tokai-futo-koen	湾奥の穴場感ある公園	流通センター駅から徒歩25分
豊洲ぐるり公園	35.64202	139.79088	toyosu-gururi-koen	都心近くの人気護岸	市場前駅から徒歩8分
有明西ふ頭公園	35.62798	139.78747	ariake-nishi-futo-koen	夜景も楽しめる湾岸公園	東京ビッグサイト駅から徒歩10分
水の広場公園	35.62429	139.78362	mizu-no-hiroba-koen	湾岸散策向きの護岸公園	青海駅から徒歩8分
暁ふ頭公園	35.61762	139.81617	akatsuki-futo-koen	運河筋を狙える公園	東京テレポート駅からバス15分
葛西臨海公園	35.643102	139.860463	kasai-rinkai-koen	湾奥の定番大型公園	葛西臨海公園駅から徒歩5分
浦安南部護岸	35.63143	139.91078	urayasu-nanbu-gogan	護岸帯を広く探れる	新浦安駅からバス15分
高洲海浜公園	35.62035	139.93216	takasu-kaihin-koen	新浦安の手軽な海浜公園	新浦安駅からバス10分
日の出海岸	35.63797	139.90768	hinode-kaigan	運河寄りで短時間向き	新浦安駅から徒歩20分
市川港	35.67366	139.93674	ichikawa-ko	港湾部の実績ポイント	市川塩浜駅から徒歩20分
稲毛海浜公園	35.62998	140.05959	inage-kaihin-koen	サーフと護岸を楽しめる	稲毛駅からバス20分
検見川浜突堤	35.63784	140.05067	kemigawahama-tottei	突堤先端が人気	検見川浜駅から徒歩15分
千葉ポートパーク	35.60632	140.09386	chiba-port-park	都市近郊の港湾公園	千葉みなと駅から徒歩15分
千葉港中央ふ頭	35.60493	140.10642	chiba-ko-chuo-futo	港湾部を探れるポイント	千葉みなと駅から徒歩18分
蘇我海浜エリア	35.57694	140.12435	soga-kaihin-area	広い護岸帯の海浜部	蘇我駅からバス15分
市原海づり施設	35.542463	140.060454	ichihara-umizuri-shisetsu	桟橋型で回遊魚も期待	五井駅からバス20分
姉崎港	35.52076	140.03152	anesaki-ko	港内中心の実績場	姉ケ崎駅から徒歩25分
袖ケ浦海浜公園	35.43587	139.99883	sodegaura-kaihin-koen	東京湾を広く見渡せる	長浦駅からバス15分
木更津港	35.37989	139.92122	kisarazu-ko	港内各所を探れる	木更津駅から徒歩20分
木更津潮浜公園	35.36995	139.91482	kisarazu-shiohama-koen	手軽な海浜公園ポイント	木更津駅から徒歩25分
中の島公園	35.37661	139.92025	nakanoshima-koen	港近くの実績スポット	木更津駅から徒歩18分
盤洲干潟	35.41242	139.95586	banzu-higata	遠浅で干潟特有の狙い場	巌根駅からバス20分
久津間海岸	35.44597	139.98293	kuzuma-kaigan	遠浅の浜で投げ釣り向き	巌根駅からバス15分
金田みたて海岸	35.43814	139.93977	kaneda-mitate-kaigan	干潟寄りで潮位の影響大	袖ケ浦駅からバス20分
牛込海岸	35.42269	139.95048	ushigome-kaigan	潮干狩り場周辺の砂浜	袖ケ浦駅からバス20分
江川海岸	35.42979	139.93075	egawa-kaigan	干潟景観で有名な海岸	巌根駅からバス15分
富津新港	35.30978	139.81896	futtsu-shinko	港内で多魚種を狙える	青堀駅からバス15分
富津海岸	35.30589	139.81042	futtsu-kaigan	遠浅の定番海岸	青堀駅からバス15分
富津岬	35.28794	139.80587	futtsu-misaki	先端部は潮通し良好	青堀駅からバス25分
富津公園下	35.28602	139.80862	futtsu-koen-shita	岬公園周辺の定番場	青堀駅からバス25分
大貫港	35.26083	139.82156	onuki-ko	内房南下の港ポイント	大貫駅から徒歩15分
新舞子海岸	35.30906	139.85392	shinmaiko-kaigan	砂浜で投げ釣り向き	佐貫町駅からバス15分
上総湊港	35.22854	139.83569	kazusa-minato-ko	港内で手軽に竿を出せる	上総湊駅から徒歩10分
