slug	area_name	name	notes
# === 内房 ===
tateyama-jieitai-breakwater	内房	館山自衛隊堤防	人気の堤防で青物期待
tateyama-sunset-pier	内房	館山夕日桟橋	長い桟橋で多魚種狙い
tomiura-new-port	内房	富浦新港	東西の波止が定番
tomiura-old-port	内房	富浦旧港	小港で初心者も入りやすい
# === 外房 ===
amatsu-ko	外房	天津港	駅近の港ポイント
chikura-ko	外房	千倉・平舘港	南房総の代表的な港
dayuzaki-ko	外房	太夫崎港	外海に面した実績場
emi-kaigan	外房	江見海岸	港横の海岸で投げ向き
emi-ko	外房	江見港	南房総の人気港
futoma-kaigan	外房	二夕間海岸	静かな海岸で投げ向き
futomi-ko	外房	太海港	小規模港でのんびり楽しめる
hamaogi-ko	外房	浜荻港	小規模港で手軽に探れる
hamaogi-no-iso	外房	浜荻の磯	磯場中心の実績エリア
hanazono-kaigan	外房	花園海岸	静かな海岸で投げ向き
hebara-kaigan	外房	部原海岸	サーフで投げ釣り向き
ichinomiya-kaigan	外房	一宮海岸	人気の広いサーフ
ichinomiyagawa-kako	外房	一宮川河口	河口の変化を狙える
isumigawa-kako	外房	夷隅川河口	河口絡みの変化が魅力
iwafune-ko	外房	岩船港	外房の小規模港
iwawada-ko	外房	岩和田港	御宿近くの港場
izumiura-kaigan	外房	和泉浦海岸	サーフで投げ釣り向き
kamogawa-ko	外房	鴨川港	駅近で多魚種が狙える
katsuura-todai-shita	外房	勝浦灯台下	地磯混じりの景観地
kawazu-ko	外房	川津港	小規模港で実績あり 釣り禁止情報あり注意
kominato-ko	外房	小湊港	港内で多魚種を狙える
maebara	外房	前原	市街近くで手軽な護岸
mama-misaki	外房	ママ岬	岬周りの変化を探れる
moriya	外房	守谷海岸	透明度高い砂浜。遠浅で投げ釣りの好ポイント
nojimasaki	外房	野島崎	房総先端の定番地磯
okawa-ko	外房	大川港	外房南部の港ポイント
okitsu-ko	外房	興津港	内湾気味で狙いやすい
onjuku	外房	御宿海岸	白砂の投げ釣り名所。外洋うねり注意
onjuku-ko	外房	御宿港	港内中心の実績場
otohama-ko	外房	乙浜港	外洋向きの人気港
senda-ko	外房	千田港	港内で落ち着いて探れる
setohama-kaigan	外房	瀬戸浜海岸	浜と港が近い手軽な場
shinkan-ko	外房	新官港	小場所ながら魚影期待
shirako-ko	外房	白子港	南端寄りの小規模港
shirazu-kaigan	外房	白渚海岸	南房総らしい広い浜
shiromazu-ko	外房	白間津港	小場所ながら実績あり
shiromazu-no-iso	外房	白間津の磯	地磯で潮通しが良い
shirosaki-kaigan	外房	城崎海岸	磯混じりで変化が多い
taito-kaigan	外房	太東海岸	広めのサーフポイント
taito-saki	外房	太東崎	外房らしい景観の岬
tojo-kaigan	外房	東条海岸	鴨川市街近くの海岸
toyohama-ko	外房	豊浜港	港内中心で手軽に楽しめる
uchiura-kaigan	外房	内浦海岸	入り江状の静かな海岸
uhara-kaigan	外房	鵜原海岸	静かな入り江の海岸
uhara-ko	外房	鵜原港	外房の人気港ポイント
wada-gyoko	外房	和田漁港	港内中心の実績場
