slug	area_name	name	notes
# === 外房 ===
wadaura-kaigan	外房	和田浦海岸	広い浜で投げ釣り向き
yahata-misaki	外房	八幡岬	岬周りで潮通し良好
# === 東京湾 ===
anesaki-ko	東京湾	姉崎港	港内中心の実績場
banzu-higata	東京湾	盤洲干潟	遠浅で干潟特有の狙い場
chiba-ko-chuo-futo	東京湾	千葉港中央ふ頭（千葉ポートパーク）	港湾部を探れるポイント
egawa-kaigan	東京湾	江川海岸	干潟景観で有名な海岸
futtsu-misaki	東京湾	富津岬	先端部は潮通し良好
futtsu-shinko	東京湾	富津新港	港内で多魚種を狙える
hinode-kaigan	東京湾	日の出海岸	運河寄りで短時間向き
ichihara-umizuri-shisetsu	東京湾	市原海づり施設（オリジナルメーカー海づり公園）	桟橋型で回遊魚も期待
ichikawa-ko	東京湾	市川港	港湾部の実績ポイント
inage-kaihin-koen	東京湾	稲毛海浜公園	サーフと護岸を楽しめる
kaneda-mitate-kaigan	東京湾	金田みたて海岸	干潟寄りで潮位の影響大
kemigawahama-tottei	東京湾	検見川浜突堤	突堤先端が人気
kisarazu-ko	東京湾	木更津港	港内各所を探れる
kisarazu-shiohama-koen	東京湾	木更津潮浜公園	手軽な海浜公園ポイント
kuzuma-kaigan	東京湾	久津間海岸	遠浅の浜で投げ釣り向き
nakanoshima-koen	東京湾	中の島公園	港近くの実績スポット
sodegaura-kaihin-koen	東京湾	袖ケ浦海浜公園	東京湾を広く見渡せる
takasu-kaihin-koen	東京湾	高洲海浜公園	新浦安の手軽な海浜公園
ushigome-kaigan	東京湾	牛込海岸	潮干狩り場周辺の砂浜
