slug	area_name	name	notes
# === 内房 ===
tateyama-jieitai-breakwater	内房	館山自衛隊堤防	2020年秋より閉鎖、試験開放の情報もあり要現地確認
tateyama-sunset-pier	内房	館山夕日桟橋	日本最長500m桟橋、北側釣禁・投げ釣り/コマセ禁、カレイ・アジ向き
tomiura-new-port	内房	富浦新港	西防波堤立入禁止、東堤防外向きのみ可、アジ・サバ魚影濃い
tomiura-old-port	内房	富浦旧港	常夜灯あり夜釣り向き、クロダイ・キス・アジ・メバル向き
# === 外房 ===
amatsu-ko	外房	天津港	赤灯・白灯立入禁止、港内のみ可、アジ・クロダイ・サヨリ向き
chikura-ko	外房	千倉・平舘港	長い堤防で足場良好、アジ・サバ・クロダイ・アオリイカ向き
dayuzaki-ko	外房	太夫崎港	鴨川市より全面釣り禁止の情報あり、行前に必ず確認
emi-kaigan	外房	江見海岸	岩礁と砂地の海岸、キス・メジナ・クロダイ向き投げ釣り場
emi-ko	外房	江見港	岩礁上の港で変化豊富、キス・アジ・イシダイ・アオリイカ向き
futoma-kaigan	外房	二夕間海岸	キス中心の遠浅サーフ、サーファー多く要注意
futomi-ko	外房	太海港	コマセ4〜12月禁止、地磯・堤防で多魚種向き、有料駐車場
hamaogi-ko	外房	浜荻港	テトラと堤防でアジ・クロダイ・イシモチ向き小漁港
hamaogi-no-iso	外房	浜荻の磯	テトラ混じりの磯場、クロダイ・メジナ向き、足場注意
hanazono-kaigan	外房	花園海岸	静かな砂浜、キス・ヒラメ向きサーフ
hebara-kaigan	外房	部原海岸	砂浜サーフ、キス・イシモチ・ヒラメ向き
ichinomiya-kaigan	外房	一宮海岸	東京五輪サーフ会場近く、ヒラメ・マゴチ・シーバス向き人気サーフ
ichinomiyagawa-kako	外房	一宮川河口	ハゼ・キス・シーバス・ヒラメ向き、ファミリーにも人気
isumigawa-kako	外房	夷隅川河口	ハゼ・キス・シーバス・イシモチ向き、駐車場・トイレ整備済み
iwafune-ko	外房	岩船港	多彩な魚種が入る港、アジ・シマアジ・クロダイ・アイナメ向き
iwawada-ko	外房	岩和田港	全堤防開放の大型港、アジ・クロダイ・アオリイカ向き
izumiura-kaigan	外房	和泉浦海岸	砂浜サーフ、キス・ヒラメ・マゴチ向き
kamogawa-ko	外房	鴨川港	大型港で多魚種豊富、アジ・クロダイ・シーバス・青物向き
katsuura-todai-shita	外房	勝浦灯台下	ウェーダー必要の地磯、クロダイ・メジナ・イシダイ・ヒラスズキ向き
kawazu-ko	外房	川津港	右堤防途中から立入禁止、アジ・クロダイ・メジナ・ヒラメ向き
kominato-ko	外房	小湊港	南堤防のみ可・投げ/エギ禁止、アジ・シマアジ・メジナ向き
maebara	外房	前原	前原フィッシャリーナ周辺、アジ・キス・シーバス・イナダ向き
mama-misaki	外房	ママ岬	断崖絶壁の岬、アジ・夕方以降の回遊魚向き、足場悪
moriya	外房	守谷海岸	透明度高い遠浅砂浜、キス中心の投げ釣り名所
nojimasaki	外房	野島崎	房総最南端の地磯、クロダイ・メジナ・イシダイ・青物向き
okawa-ko	外房	大川港	港内干潮時に岩露出、シマアジ・青物が季節入り食いになることも
okitsu-ko	外房	興津港	アジ釣りの聖地と称される西港、アジ・クロダイ・メジナ・キス向き
onjuku	外房	御宿海岸	白砂の広いサーフ、キス・ヒラメ向き、外洋うねり注意
onjuku-ko	外房	御宿港	右堤防立入禁止、港内でアジ・クロダイ・アオリイカ向き
otohama-ko	外房	乙浜港	黒潮の分流当たる大型港、アジ・クロダイ・アオリイカ・青物向き
senda-ko	外房	千田港	ウキフカセでクロダイの名ポイント、アジ・メジナも向き
setohama-kaigan	外房	瀬戸浜海岸	千倉港隣接の砂浜、キス・ヒラメ向き
shinkan-ko	外房	新官港	全エリア開放の穴場大型港、アジ・クロダイ・アオリイカ向き
shirako-ko	外房	白子港	左堤防から沖堤向きがポイント、アジ・クロダイ向き
shirazu-kaigan	外房	白渚海岸	南房総の砂浜、キス・ヒラメ向き投げ釣り場
shiromazu-ko	外房	白間津港	水深ドン深の磯付き港、クロダイ・メジナ・イシダイ向き
shiromazu-no-iso	外房	白間津の磯	乙浜〜白間津間の本格磯、イシダイ・クロダイ・メジナ向き
shirosaki-kaigan	外房	城崎海岸	磯と砂が混在、クロダイ・キス・ヒラメ向き
taito-kaigan	外房	太東海岸	九十九里南端の広いサーフ、キス・ヒラメ・シーバス向き
taito-saki	外房	太東崎	灯台下の地磯、クロダイ・メジナ・ヒラスズキ向き
tojo-kaigan	外房	東条海岸	鴨川エリアの砂浜、キス・ヒラメ向き投げ釣りサーフ
toyohama-ko	外房	豊浜港	新官港と隣接の穴場港、アジ・クロダイ・アオリイカ向き
uchiura-kaigan	外房	内浦海岸	入り江の静かな砂浜、キス・クロダイ向き
uhara-kaigan	外房	鵜原海岸	リアス式の入り江、水深あり、クロダイ・メジナ・アオリイカ向き
uhara-ko	外房	鵜原港	天然の良港で大型メジナの魚影濃い、テトラ多く上級者向き
wada-gyoko	外房	和田漁港	秋サゴシ・ワカシ回遊、真浦新堤・南防波堤は立入禁止
