slug	area_name	name	notes
# === 三浦半島 ===
zushi	三浦半島	逗子海岸	遠浅の砂浜、キス・マゴチ・シーバス向き、夏季海水浴時間外が主体
# === 東京湾 ===
daikoku-umizuri-shisetsu	東京湾	大黒海づり施設	有料桟橋式施設、アジ・イワシ・タコ・スズキ向き、道具貸出あり
fukuura-ganpeki	東京湾	福浦岸壁	横浜南部の護岸、アジ・クロダイ・シーバス・タチウオ向き
hakkeijima-taigan	東京湾	八景島対岸	八景島水族館対岸の護岸、アジ・シーバス・クロダイ向き
higashi-ogishima-nishi-koen	東京湾	東扇島西公園	川崎の無料釣り公園、アジ・サバ・タチウオ・クロダイ・タコ向き
honmoku-umizuri-shisetsu	東京湾	本牧海づり施設	有料桟橋式施設、数釣りに定評、アジ・タコ・スズキ・カレイ向き
isogo-umizuri-shisetsu	東京湾	磯子海づり施設	有料施設で大物実績、タコ・クロダイ・スズキ・カレイ向き
umi-no-koen	東京湾	海の公園	潮干狩りで有名な横浜の砂浜、キス・ハゼ・カレイ向き
# === 相模湾 ===
banbaura	相模湾	番場浦	真鶴半島の入り江状磯、クロダイ・メジナ・アオリイカ向き
chigasaki-headland	相模湾	茅ヶ崎ヘッドランド	サーフ突き出すT字堤防、キス・メジナ・ヒラメ・青物向き
domu	相模湾	道無	西湘の地磯、クロダイ・メジナ・アオリイカ向き
enoshima	相模湾	江の島	磯と湘南大堤防、夜22〜朝5時は島内立入禁止、メジナ・クロダイ・アジ・青物向き
enoura-gyoko	相模湾	江之浦漁港	小田原西側の小漁港、アジ・カゴ釣り・アオリイカ・クロダイ向き
fukuura-ko	相模湾	福浦港	真鶴半島付け根の漁港、アジ・クロダイ・メジナ向き
hanamizugawa-kako	相模湾	花水川河口	平塚の河口、シーバス・クロダイ・キス・ハゼ向き
hayakawa-ko	相模湾	早川港	小田原の大型港、港内釣り可エリアあり、アジ・イワシ・カマス・アオリイカ向き
hikichigawa-kako	相模湾	引地川河口	藤沢の河口、シーバス・クロダイ・キス・ハゼ向き
hiratsuka	相模湾	平塚海岸	キスの名所、広い砂浜でヒラメ・マゴチ・弓角青物向き
hiratsuka-kaigan	相模湾	平塚海岸	4km広大なサーフ、キス・マゴチ・ヒラメ・弓角青物向き
hiratsuka-shinko	相模湾	平塚新港	8:30〜17:00のみ港内立入可、アジ・サバ・イワシ・シーバス向き
inamuragasaki	相模湾	稲村ヶ崎	景観の磯と護岸、クロダイ・メジナ・アオリイカ向き
iwa-ko	相模湾	岩港	真鶴寄りの小漁港、アジ・クロダイ・メジナ向き
kama-no-kuchi	相模湾	釜の口	西湘の先端磯、クロダイ・メジナ・アオリイカ向き
katase	相模湾	片瀬西浜（江ノ島）	江ノ島西側の広いサーフ、キス・マゴチ・ヒラメ・青物向き
katase-gyoko	相模湾	片瀬漁港	境川河口の漁港、キス・サビキ・シーバス向き（タコ禁漁区）
katase_east	相模湾	片瀬東浜（江ノ島）	江ノ島東側の砂浜、キス・マゴチ・ヒラメ向き
komekami-teibo	相模湾	米神堤防	小田原西側の実績堤防、カゴ釣り・クロダイ・メジナ・アオリイカ向き
koshigoe-gyoko	相模湾	腰越漁港	鎌倉の穴場漁港、キス・ヒラメ・シーバス向き
kotsubo-gyoko	相模湾	小坪漁港	港内は2020年11月より釣禁・立入禁止、外側テトラのみ可
kozu	相模湾	国府津海岸	駅至近の急深サーフ、キス・青物ショアジギング・アジ向き
kyu-yoshida-tei-shita	相模湾	旧吉田邸下	真鶴の海岸ポイント、クロダイ・メジナ向き
manazuru-ko	相模湾	真鶴港	真鶴の代表港、海側一部釣禁注意、アジ・クロダイ・メジナ向き
mitsuishi	相模湾	三ツ石	真鶴半島の景勝地磯、クロダイ・メジナ・イシダイ向き
miyuki	相模湾	御幸の浜	小田原漁港隣接の砂浜、キス・マゴチ向き、比較的空いた穴場
nebukawa	相模湾	根府川	根府川海岸沿いの砂礫浜、キス・クロダイ向き
ninomiya	相模湾	二宮海岸	湘南西端の遠浅砂浜、キス・マゴチ向き、比較的空いた穴場
oiso	相模湾	大磯海岸	砂礫混じりのサーフ、キス・ヒラメ・マゴチ・弓角青物向き
oiso-choyakuba-shita	相模湾	大磯町役場下	大磯海岸沿いの護岸、キス・クロダイ・メジナ向き
oiso-ko	相模湾	大磯港	アジ・サバ・サビキの定番港、クロダイ・カマス・メジナ向き
sagamigawa-kako	相模湾	相模川河口	箱根駅伝中継所近くの大河口、シーバス・クロダイ・キス・アジ向き
sakawa	相模湾	酒匂海岸（小田原）	急深サーフの穴場、キス・青物・ヒラメ・シーバス向き
shichirigahama	相模湾	七里ヶ浜	鎌倉の広いサーフ、キス・マゴチ・ヒラメ向き
shonan-dai-teibo	相模湾	湘南大堤防	江ノ島東端の定番堤防、アジ・サバ・メジナ・クロダイ・カマス向き
tsujido	相模湾	辻堂海岸	湘南サーフ、キス・ヒラメ・マゴチ・シーバス向き、夏はサーファー多
umezawa-kaigan	相模湾	梅沢海岸	二宮近くの砂浜サーフ、キス・マゴチ向き
yanagishima-kaigan	相模湾	柳島海岸	相模川河口東側の砂浜、キス・シーバス・ヒラメ向き
yugawara-kaihin-koen	相模湾	湯河原海浜公園	湯河原の小海浜公園、キス・クロダイ・メジナ向き
yuigahama	相模湾	由比ヶ浜	鎌倉の観光海岸、キス・マゴチ・ヒラメ向き
zaimokuza-kaigan	相模湾	材木座海岸	由比ヶ浜南側のサーフ、キス・マゴチ・シーバス向き
