slug	area_name	name	notes
# === 外房 ===
wadaura-kaigan	外房	和田浦海岸	和田港南側の広い砂浜、キス・ヒラメ・マゴチ向き
yahata-misaki	外房	八幡岬	勝浦の一級地磯、クロダイ・メジナ・ヒラスズキ向き、ウネリに注意
# === 東京湾 ===
anesaki-ko	東京湾	姉崎港	姉ヶ崎海岸の小漁港、ハゼ・キス・カレイ・夜アジングも向き
banzu-higata	東京湾	盤洲干潟	小櫃川河口の広大干潟、シーバス・マゴチ・ウェーディング向き
chiba-ko-chuo-futo	東京湾	千葉港中央ふ頭（千葉ポートパーク）	500m護岸で柵付き、アジ・サビキ・カレイ・シーバス向き
egawa-kaigan	東京湾	江川海岸	潮干狩り場としても有名な干潟海岸、ハゼ・キス向き遠浅帯
futtsu-misaki	東京湾	富津岬	東京湾口の潮流速い岬、キス・シーバス投げ釣り場、遠浅注意
futtsu-shinko	東京湾	富津新港	西防波堤立入禁止、港内でキス・カレイ・クロダイ・アジ向き
hinode-kaigan	東京湾	日の出海岸	富津の小規模海岸、ハゼ・キス向きのちょい投げポイント
ichihara-umizuri-shisetsu	東京湾	市原海づり施設（オリジナルメーカー海づり公園）	有料桟橋型施設で道具レンタルあり、アジ・サヨリ・カレイ向き
ichikawa-ko	東京湾	市川港	行徳港とも呼ばれる小漁港、ハゼ・シーバス向き、一部釣禁あり
inage-kaihin-koen	東京湾	稲毛海浜公園	砂浜は釣禁、検見川浜突堤・小堤防がメイン、メバル・シーバス向き
kaneda-mitate-kaigan	東京湾	金田みたて海岸	盤洲干潟に面した遠浅、潮位変化で釣り場が変わる
kemigawahama-tottei	東京湾	検見川浜突堤	500m幅広突堤で柵付き、サビキ・シーバス・青物・タチウオ向き
kisarazu-ko	東京湾	木更津港	内港・鳥居崎の各護岸、ハゼ・スズキ・カレイ・アナゴ向き
kisarazu-shiohama-koen	東京湾	木更津潮浜公園	遠浅の小公園、満潮狙いでハゼ・シーバス・クロダイ向き
kuzuma-kaigan	東京湾	久津間海岸	盤洲干潟の一角の潮干狩り場、ハゼ・キス向き遠浅サーフ
nakanoshima-koen	東京湾	中の島公園	木更津港内の島の護岸、ハゼ・シーバス向き、満潮狙い
sodegaura-kaihin-koen	東京湾	袖ケ浦海浜公園	2020年8月より釣り禁止、釣行不可
takasu-kaihin-koen	東京湾	高洲海浜公園	浦安の1km護岸、テトラ有で投釣り基本、ハゼ・キス・シーバス向き
ushigome-kaigan	東京湾	牛込海岸	潮干狩り場に隣接の遠浅砂浜、ハゼ・キス向き
